Število povezav,Graf,Dolžina najdaljše poti - Color coding,Čas,Dolžina najdaljše poti - DFS,Čas
15,"{0: [2, 3, 4, 5], 1: [4], 2: [0, 4, 5], 3: [0, 2, 4, 5], 4: [2, 5], 5: [4]}",5,0.340817928314209,6,0.00010704994201660156
17,"{0: [4], 1: [3, 4, 5], 2: [0, 1, 3, 4, 5], 3: [0, 4, 5], 4: [3, 5], 5: [1, 2, 4]}",5,0.3656888008117676,6,0.0002110004425048828
13,"{0: [1, 3, 5], 1: [4, 5], 2: [4, 5], 3: [1], 4: [1, 5], 5: [0, 2, 3]}",5,0.3294970989227295,6,0.00012087821960449219
8,"{0: [1], 1: [4, 5], 2: [1], 3: [0, 4], 4: [3], 5: [4]}",5,0.28882575035095215,6,5.698204040527344e-05
18,"{0: [1, 2, 5], 1: [2, 3, 4], 2: [0, 1, 4, 5], 3: [0, 1, 2, 4, 5], 4: [5], 5: [3, 4]}",5,0.3865518569946289,6,0.0002460479736328125
17,"{0: [1, 3, 4], 1: [0, 3, 5], 2: [1, 4], 3: [2, 4], 4: [0, 1, 2, 3, 5], 5: [0, 2]}",5,0.3756239414215088,6,0.0002770423889160156
16,"{0: [1, 2, 3, 5], 1: [3, 4, 5], 2: [1, 3, 5], 3: [1], 4: [1, 2, 3, 5], 5: [3]}",5,0.34916114807128906,6,0.00021123886108398438
12,"{0: [1, 2, 5], 1: [2, 5], 2: [3, 4], 3: [5], 4: [2, 5], 5: [3, 4]}",5,0.31556010246276855,6,7.915496826171875e-05
15,"{0: [1, 3, 4, 5], 1: [2, 3, 4], 2: [0, 4, 5], 3: [1], 4: [2], 5: [1, 2, 3]}",6,0.34532880783081055,6,0.0002219676971435547
17,"{0: [2, 4, 5], 1: [2, 3, 5], 2: [0, 3, 5], 3: [1, 2, 4], 4: [0, 3, 5], 5: [3, 4]}",6,0.3606541156768799,6,0.00022482872009277344
17,"{0: [3, 4], 1: [2, 3, 4], 2: [0, 1, 4], 3: [0, 2, 4], 4: [0, 1, 2, 5], 5: [1, 2]}",6,0.35644102096557617,6,0.0002551078796386719
21,"{0: [1, 2, 3, 4, 5], 1: [4], 2: [0, 1, 3], 3: [0, 1, 4, 5], 4: [0, 1, 2, 3, 5], 5: [0, 2, 3]}",6,0.38510608673095703,6,0.00044536590576171875
22,"{0: [1, 3, 5], 1: [3, 4, 5], 2: [0, 1, 3, 5], 3: [0, 1, 2, 4, 5], 4: [0, 1, 3], 5: [0, 2, 3, 4]}",5,0.3890249729156494,6,0.0006818771362304688
14,"{0: [3, 5], 1: [2, 4], 2: [0, 1, 3, 4], 3: [0, 1], 4: [0, 1, 3], 5: [3]}",5,0.32327818870544434,6,0.00013399124145507812
12,"{0: [1, 2, 3], 1: [4], 2: [0, 3], 3: [2, 4], 4: [1, 3], 5: [0, 1]}",4,0.3123199939727783,6,6.604194641113281e-05
